name,content,hasNonRegularFeature,hasLookAhead,hasLookBehind,hasBackReference,hasNamedGroup,hasNonCapturedGroup,hasWordBoundary
regexlib-clean_1.txt,"$sPatternTablet = '/(Tablet|iPad|iPod)/';
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_10.txt,"^[ a - z, 0 - 9 , ?   -   ?   ,?   -   ? , ?    -  ?   ,?   -  ? , . ]
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_100.txt,"(((ht|f)tp(s?))\://)?(\bw{3}[^w]\b)?[^w{4}][^\@]([0-9a-zA-Z\-]+\.)+[a-zA-Z]{2,6}(\:[0-9]+)?(/\S*)?
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
regexlib-clean_1000.txt,"[-]?[1-9]\d{0,16}\.?\d{0,2}|[-]?[0]?\.[1-9]{1,2}|[-]?[0]?\.[0-9][1-9]
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1001.txt,"[/,,/.,/=,\s]([0-6]\d{2}|7[0-6]\d|77[0-2])(\s|\-)?(\d{2})\2(\d{4})[/,,/.,\s]
",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
regexlib-clean_1002.txt,"[0-1]+
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1003.txt,"[0-3]{1}[0-9]{1}(jan|JAN|feb|FEB|mar|MAR|apr|APR|may|MAY|jun|JUN|jul|JUL|aug|AUG|sep|SEP|oct|OCT|nov|NOV|dec|DEC){1}
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1004.txt,"[0-7]+
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1005.txt,"[0-9.\-/+() ]{4,}
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1006.txt,"[0-9A-Fa-f]{2}(\.?)[0-9A-Fa-f]{2}(\.?)[0-9A-Fa-f]{2}(\.?)[0-9A-Fa-f]{2}
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1007.txt,"[0-9A-Za-z]
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1008.txt,"[0-9]*\.?[0-9]*[1-9]
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1009.txt,"[0-9]+
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_101.txt,"(((ht|f)tp(s?):\/\/)(www\.[^ \[\]\(\)\n\r\t]+)|(([012]?[0-9]{1,2}\.){3}[012]?[0-9]{1,2})\/)([^ \[\]\(\),;""\'<>\n\r\t]+)([^\. \[\]\(\),;""\'<>\n\r\t])|(([012]?[0-9]{1,2}\.){3}[012]?[0-9]{1,2})
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1010.txt,"[0-9]+|-[0-9]+
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1011.txt,"[0-9][.][0-9]{3}$
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1012.txt,"[0-9][0-9][0-9][0-9]-(0[1-9]|1[0-2])-(0[1-9]|1[0-9]|2[0-9]|3[0-1])\s{1}(0[0-9]|1[0-9]|2[0-3]):([0-5][0-9])
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1013.txt,"[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1014.txt,"[0-9]{2}-?[DF][A-Z]{2}-?[0-9]{1}|[DF][A-Z]{1}-?[0-9]{3}-?[A-Z]{1}|[DF]-?[0-9]{3}-?[A-Z]{2}|[DF][A-Z]{2}-?[0-9]{2}-?[A-Z]{1}$
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1015.txt,"[0-9]{3}P[A-Z][0-9]{7}[0-9X]
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1016.txt,"[0-9]{4}-([0][0-9]|[1][0-2])-([0][0-9]|[1][0-9]|[2][0-9]|[3][0-1])
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1017.txt,"[0-9]{4}-[0-9]{3}
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1018.txt,"[0-9]{4}[/.-](?:1[0-2]|0?[1-9])[/.-](?:3[01]|[12][0-9]|0?[1-9])
",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
regexlib-clean_1019.txt,"[0-9]{4}[A-Z]{2}
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_102.txt,"(((ht|f)tp(s?):\/\/)|(([\w]{1,})\.[^ \[\]\(\)\n\r\t]+)|(([012]?[0-9]{1,2}\.){3}[012]?[0-9]{1,2})\/)([^ \[\]\(\),;""'<>\n\r\t]+)([^\. \[\]\(\),;""'<>\n\r\t])|(([012]?[0-9]{1,2}\.){3}[012]?[0-9]{1,2})
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1020.txt,"[0-9]{4}\s*[a-zA-Z]{2}
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1021.txt,"[0-9]{5}\s?[0-9]{5}
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1022.txt,"[0-9a-fA-F]+
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
regexlib-clean_1023.txt,"[0](\d{9})|([0](\d{2})( |-)((\d{3}))( |-)(\d{4}))|[0](\d{2})( |-)(\d{7})
",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
